;$FILEVERSION=1.1
;$STARTTIME=46190.6957282176
;
;   Generated by AI Simulation
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)         0.0  Rx         0106  8  12 C0 00 00 00 00 00 00
     2)         0.0  Rx         0197  8  14 00 00 00 00 00 00 00
     3)         0.0  Rx         0280  8  00 00 7A 50 00 00 00 00
     4)         0.0  Rx         02B5  8  00 00 02 00 00 00 00 00
     5)        10.0  Rx         0106  8  12 CC 00 00 00 00 00 00
     6)        10.0  Rx         0197  8  14 00 00 00 00 00 00 00
     7)        20.0  Rx         0106  8  12 D8 00 00 00 00 00 00
     8)        20.0  Rx         0197  8  14 00 00 00 00 00 00 00
     9)        30.0  Rx         0106  8  12 E4 00 00 00 00 00 00
    10)        30.0  Rx         0197  8  14 00 00 00 00 00 00 00
    11)        40.0  Rx         0106  8  12 F0 00 00 00 00 00 00
    12)        40.0  Rx         0197  8  14 00 00 00 00 00 00 00
    13)        50.0  Rx         0106  8  12 FC 00 00 00 00 00 00
    14)        50.0  Rx         0197  8  14 00 00 00 00 00 00 00
    15)        60.0  Rx         0106  8  13 08 00 00 00 00 00 00
    16)        60.0  Rx         0197  8  14 00 00 00 00 00 00 00
    17)        70.0  Rx         0106  8  13 14 00 00 00 00 00 00
    18)        70.0  Rx         0197  8  14 00 00 00 00 00 00 00
    19)        80.0  Rx         0106  8  13 20 00 00 00 00 00 00
    20)        80.0  Rx         0197  8  14 00 00 00 00 00 00 00
    21)        90.0  Rx         0106  8  13 2C 00 00 00 00 00 00
    22)        90.0  Rx         0197  8  14 00 00 00 00 00 00 00
    23)       100.0  Rx         0106  8  13 38 00 00 00 00 00 00
    24)       100.0  Rx         0197  8  14 00 00 00 00 00 00 00
    25)       100.0  Rx         0280  8  00 00 7A 50 00 00 00 00
    26)       100.0  Rx         02B5  8  00 00 02 00 00 00 00 00
    27)       110.0  Rx         0106  8  13 44 00 00 00 00 00 00
    28)       110.0  Rx         0197  8  14 00 00 00 00 00 00 00
    29)       120.0  Rx         0106  8  13 50 00 00 00 00 00 00
    30)       120.0  Rx         0197  8  14 00 00 00 00 00 00 00
    31)       130.0  Rx         0106  8  13 5C 00 00 00 00 00 00
    32)       130.0  Rx         0197  8  15 00 00 00 00 00 00 00
    33)       140.0  Rx         0106  8  13 68 00 00 00 00 00 00
    34)       140.0  Rx         0197  8  15 00 00 00 00 00 00 00
    35)       150.0  Rx         0106  8  13 74 00 00 00 00 00 00
    36)       150.0  Rx         0197  8  15 00 00 00 00 00 00 00
    37)       160.0  Rx         0106  8  13 80 00 00 00 00 00 00
    38)       160.0  Rx         0197  8  15 00 00 00 00 00 00 00
    39)       170.0  Rx         0106  8  13 8C 00 00 00 00 00 00
    40)       170.0  Rx         0197  8  15 00 00 00 00 00 00 00
    41)       180.0  Rx         0106  8  13 98 00 00 00 00 00 00
    42)       180.0  Rx         0197  8  15 00 00 00 00 00 00 00
    43)       190.0  Rx         0106  8  13 A4 00 00 00 00 00 00
    44)       190.0  Rx         0197  8  15 00 00 00 00 00 00 00
    45)       200.0  Rx         0106  8  13 B0 00 00 00 00 00 00
    46)       200.0  Rx         0197  8  15 00 00 00 00 00 00 00
    47)       200.0  Rx         0280  8  00 00 7A 50 00 00 00 00
    48)       200.0  Rx         02B5  8  00 00 02 00 00 00 00 00
    49)       210.0  Rx         0106  8  13 BC 00 00 00 00 00 00
    50)       210.0  Rx         0197  8  15 00 00 00 00 00 00 00
    51)       220.0  Rx         0106  8  13 C8 00 00 00 00 00 00
    52)       220.0  Rx         0197  8  15 00 00 00 00 00 00 00
    53)       230.0  Rx         0106  8  13 D4 00 00 00 00 00 00
    54)       230.0  Rx         0197  8  15 00 00 00 00 00 00 00
    55)       240.0  Rx         0106  8  13 E0 00 00 00 00 00 00
    56)       240.0  Rx         0197  8  15 00 00 00 00 00 00 00
    57)       250.0  Rx         0106  8  13 EC 00 00 00 00 00 00
    58)       250.0  Rx         0197  8  16 00 00 00 00 00 00 00
    59)       260.0  Rx         0106  8  13 F8 00 00 00 00 00 00
    60)       260.0  Rx         0197  8  16 00 00 00 00 00 00 00
    61)       270.0  Rx         0106  8  14 04 00 00 00 00 00 00
    62)       270.0  Rx         0197  8  16 00 00 00 00 00 00 00
    63)       280.0  Rx         0106  8  14 10 00 00 00 00 00 00
    64)       280.0  Rx         0197  8  16 00 00 00 00 00 00 00
    65)       290.0  Rx         0106  8  14 1C 00 00 00 00 00 00
    66)       290.0  Rx         0197  8  16 00 00 00 00 00 00 00
    67)       300.0  Rx         0106  8  14 28 00 00 00 00 00 00
    68)       300.0  Rx         0197  8  16 00 00 00 00 00 00 00
    69)       300.0  Rx         0280  8  00 00 7A 50 00 00 00 00
    70)       300.0  Rx         02B5  8  00 00 02 00 00 00 00 00
    71)       310.0  Rx         0106  8  14 34 00 00 00 00 00 00
    72)       310.0  Rx         0197  8  16 00 00 00 00 00 00 00
    73)       320.0  Rx         0106  8  14 40 00 00 00 00 00 00
    74)       320.0  Rx         0197  8  16 00 00 00 00 00 00 00
    75)       330.0  Rx         0106  8  14 4C 00 00 00 00 00 00
    76)       330.0  Rx         0197  8  16 00 00 00 00 00 00 00
    77)       340.0  Rx         0106  8  14 58 00 00 00 00 00 00
    78)       340.0  Rx         0197  8  16 00 00 00 00 00 00 00
    79)       350.0  Rx         0106  8  14 64 00 00 00 00 00 00
    80)       350.0  Rx         0197  8  16 00 00 00 00 00 00 00
    81)       360.0  Rx         0106  8  14 70 00 00 00 00 00 00
    82)       360.0  Rx         0197  8  16 00 00 00 00 00 00 00
    83)       370.0  Rx         0106  8  14 7C 00 00 00 00 00 00
    84)       370.0  Rx         0197  8  16 00 00 00 00 00 00 00
    85)       380.0  Rx         0106  8  14 88 00 00 00 00 00 00
    86)       380.0  Rx         0197  8  17 00 00 00 00 00 00 00
    87)       390.0  Rx         0106  8  14 94 00 00 00 00 00 00
    88)       390.0  Rx         0197  8  17 00 00 00 00 00 00 00
    89)       400.0  Rx         0106  8  14 A0 00 00 00 00 00 00
    90)       400.0  Rx         0197  8  17 00 00 00 00 00 00 00
    91)       400.0  Rx         0280  8  00 00 7A 50 00 00 00 00
    92)       400.0  Rx         02B5  8  00 00 02 00 00 00 00 00
    93)       410.0  Rx         0106  8  14 AC 00 00 00 00 00 00
    94)       410.0  Rx         0197  8  17 00 00 00 00 00 00 00
    95)       420.0  Rx         0106  8  14 B8 00 00 00 00 00 00
    96)       420.0  Rx         0197  8  17 00 00 00 00 00 00 00
    97)       430.0  Rx         0106  8  14 C4 00 00 00 00 00 00
    98)       430.0  Rx         0197  8  17 00 00 00 00 00 00 00
    99)       440.0  Rx         0106  8  14 D0 00 00 00 00 00 00
   100)       440.0  Rx         0197  8  17 00 00 00 00 00 00 00
   101)       450.0  Rx         0106  8  14 DC 00 00 00 00 00 00
   102)       450.0  Rx         0197  8  17 00 00 00 00 00 00 00
   103)       460.0  Rx         0106  8  14 E8 00 00 00 00 00 00
   104)       460.0  Rx         0197  8  17 00 00 00 00 00 00 00
   105)       470.0  Rx         0106  8  14 F4 00 00 00 00 00 00
   106)       470.0  Rx         0197  8  17 00 00 00 00 00 00 00
   107)       480.0  Rx         0106  8  15 00 00 00 00 00 00 00
   108)       480.0  Rx         0197  8  17 00 00 00 00 00 00 00
   109)       490.0  Rx         0106  8  15 0C 00 00 00 00 00 00
   110)       490.0  Rx         0197  8  17 00 00 00 00 00 00 00
   111)       500.0  Rx         0106  8  15 18 00 00 00 00 00 00
   112)       500.0  Rx         0197  8  18 00 00 00 00 00 00 00
   113)       500.0  Rx         0280  8  00 00 7A 50 00 00 00 00
   114)       500.0  Rx         02B5  8  00 00 02 00 00 00 00 00
   115)       510.0  Rx         0106  8  15 24 00 00 00 00 00 00
   116)       510.0  Rx         0197  8  18 00 00 00 00 00 00 00
   117)       520.0  Rx         0106  8  15 30 00 00 00 00 00 00
   118)       520.0  Rx         0197  8  18 00 00 00 00 00 00 00
   119)       530.0  Rx         0106  8  15 3C 00 00 00 00 00 00
   120)       530.0  Rx         0197  8  18 00 00 00 00 00 00 00
   121)       540.0  Rx         0106  8  15 48 00 00 00 00 00 00
   122)       540.0  Rx         0197  8  18 00 00 00 00 00 00 00
   123)       550.0  Rx         0106  8  15 54 00 00 00 00 00 00
   124)       550.0  Rx         0197  8  18 00 00 00 00 00 00 00
   125)       560.0  Rx         0106  8  15 60 00 00 00 00 00 00
   126)       560.0  Rx         0197  8  18 00 00 00 00 00 00 00
   127)       570.0  Rx         0106  8  15 6C 00 00 00 00 00 00
   128)       570.0  Rx         0197  8  18 00 00 00 00 00 00 00
   129)       580.0  Rx         0106  8  15 78 00 00 00 00 00 00
   130)       580.0  Rx         0197  8  18 00 00 00 00 00 00 00
   131)       590.0  Rx         0106  8  15 84 00 00 00 00 00 00
   132)       590.0  Rx         0197  8  18 00 00 00 00 00 00 00
   133)       600.0  Rx         0106  8  15 90 00 00 00 00 00 00
   134)       600.0  Rx         0197  8  18 00 00 00 00 00 00 00
   135)       600.0  Rx         0280  8  00 00 7A 50 00 00 00 00
   136)       600.0  Rx         02B5  8  00 00 02 00 00 00 00 00
   137)       610.0  Rx         0106  8  15 9C 00 00 00 00 00 00
   138)       610.0  Rx         0197  8  18 00 00 00 00 00 00 00
   139)       620.0  Rx         0106  8  15 A8 00 00 00 00 00 00
   140)       620.0  Rx         0197  8  18 00 00 00 00 00 00 00
   141)       630.0  Rx         0106  8  15 B4 00 00 00 00 00 00
   142)       630.0  Rx         0197  8  19 00 00 00 00 00 00 00
   143)       640.0  Rx         0106  8  15 C0 00 00 00 00 00 00
   144)       640.0  Rx         0197  8  19 00 00 00 00 00 00 00
   145)       650.0  Rx         0106  8  15 CC 00 00 00 00 00 00
   146)       650.0  Rx         0197  8  19 00 00 00 00 00 00 00
   147)       660.0  Rx         0106  8  15 D8 00 00 00 00 00 00
   148)       660.0  Rx         0197  8  19 00 00 00 00 00 00 00
   149)       670.0  Rx         0106  8  15 E4 00 00 00 00 00 00
   150)       670.0  Rx         0197  8  19 00 00 00 00 00 00 00
   151)       680.0  Rx         0106  8  15 F0 00 00 00 00 00 00
   152)       680.0  Rx         0197  8  19 00 00 00 00 00 00 00
   153)       690.0  Rx         0106  8  15 FC 00 00 00 00 00 00
   154)       690.0  Rx         0197  8  19 00 00 00 00 00 00 00
   155)       700.0  Rx         0106  8  16 08 00 00 00 00 00 00
   156)       700.0  Rx         0197  8  19 00 00 00 00 00 00 00
   157)       700.0  Rx         0280  8  00 00 7A 50 00 00 00 00
   158)       700.0  Rx         02B5  8  00 00 02 00 00 00 00 00
   159)       710.0  Rx         0106  8  16 14 00 00 00 00 00 00
   160)       710.0  Rx         0197  8  19 00 00 00 00 00 00 00
   161)       720.0  Rx         0106  8  16 20 00 00 00 00 00 00
   162)       720.0  Rx         0197  8  19 00 00 00 00 00 00 00
   163)       730.0  Rx         0106  8  16 2C 00 00 00 00 00 00
   164)       730.0  Rx         0197  8  19 00 00 00 00 00 00 00
   165)       740.0  Rx         0106  8  16 38 00 00 00 00 00 00
   166)       740.0  Rx         0197  8  19 00 00 00 00 00 00 00
   167)       750.0  Rx         0106  8  16 44 00 00 00 00 00 00
   168)       750.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   169)       760.0  Rx         0106  8  16 50 00 00 00 00 00 00
   170)       760.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   171)       770.0  Rx         0106  8  16 5C 00 00 00 00 00 00
   172)       770.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   173)       780.0  Rx         0106  8  16 68 00 00 00 00 00 00
   174)       780.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   175)       790.0  Rx         0106  8  16 74 00 00 00 00 00 00
   176)       790.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   177)       800.0  Rx         0106  8  16 80 00 00 00 00 00 00
   178)       800.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   179)       800.0  Rx         0280  8  00 00 7A 50 00 00 00 00
   180)       800.0  Rx         02B5  8  00 00 02 00 00 00 00 00
   181)       810.0  Rx         0106  8  16 8C 00 00 00 00 00 00
   182)       810.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   183)       820.0  Rx         0106  8  16 98 00 00 00 00 00 00
   184)       820.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   185)       830.0  Rx         0106  8  16 A4 00 00 00 00 00 00
   186)       830.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   187)       840.0  Rx         0106  8  16 B0 00 00 00 00 00 00
   188)       840.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   189)       850.0  Rx         0106  8  16 BC 00 00 00 00 00 00
   190)       850.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   191)       860.0  Rx         0106  8  16 C8 00 00 00 00 00 00
   192)       860.0  Rx         0197  8  1A 00 00 00 00 00 00 00
   193)       870.0  Rx         0106  8  16 D4 00 00 00 00 00 00
